epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,245.32,0.78311,0.50825,0.96944,0.45161,0.76235,0.57909,0.41014,1.11153,1.75824,1.13778,0.000544776,0.000544776,0.000544776
70,248.71,0.73311,0.47263,0.93705,0.48675,0.74098,0.62768,0.45335,1.08968,1.57618,1.12578,0.000528272,0.000528272,0.000528272
71,252.693,0.74212,0.46522,0.9447,0.63794,0.64597,0.67674,0.49485,1.08418,1.38917,1.129,0.000511769,0.000511769,0.000511769
72,256.279,0.75981,0.50242,0.97886,0.57574,0.63408,0.62061,0.44109,1.10735,1.39607,1.15447,0.000495266,0.000495266,0.000495266
73,259.645,0.71837,0.49,0.94692,0.6256,0.63013,0.59137,0.41706,1.10667,1.49499,1.15921,0.000478762,0.000478762,0.000478762
74,263.005,0.73617,0.48908,0.97177,0.56066,0.62707,0.59073,0.42748,1.052,1.56179,1.1293,0.000462259,0.000462259,0.000462259
75,266.389,0.75114,0.49863,0.98228,0.3754,0.94444,0.5388,0.37677,1.12623,2.30147,1.15908,0.000445756,0.000445756,0.000445756
76,269.726,0.70744,0.4767,0.94685,0.38893,0.95139,0.56257,0.3996,1.09308,2.26138,1.13072,0.000429253,0.000429253,0.000429253
77,273.339,0.71722,0.46741,0.95553,0.36159,0.95833,0.57633,0.40326,1.12916,2.08533,1.16581,0.000412749,0.000412749,0.000412749
78,276.62,0.73737,0.48492,0.95801,0.62047,0.57853,0.66112,0.45932,1.12375,1.44884,1.17786,0.000396246,0.000396246,0.000396246
79,281.218,0.71225,0.46187,0.93894,0.60442,0.65856,0.63165,0.43197,1.15845,1.38873,1.21715,0.000379743,0.000379743,0.000379743
80,285.325,0.72973,0.5031,0.96521,0.61048,0.65812,0.59691,0.41074,1.11418,1.48189,1.18002,0.000363239,0.000363239,0.000363239
81,288.617,0.7177,0.44793,0.95306,0.5834,0.71741,0.59379,0.40383,1.12222,1.50382,1.1962,0.000346736,0.000346736,0.000346736
82,291.939,0.68422,0.43799,0.92611,0.67887,0.66506,0.61638,0.40105,1.15156,1.48639,1.23352,0.000330233,0.000330233,0.000330233
83,295.649,0.70046,0.44469,0.93404,0.65202,0.67232,0.65224,0.4502,1.07211,1.36352,1.17008,0.000313729,0.000313729,0.000313729
84,299.125,0.71993,0.45493,0.95677,0.63125,0.72087,0.64713,0.4493,1.10052,1.35025,1.18425,0.000297226,0.000297226,0.000297226
85,302.541,0.71214,0.43783,0.96908,0.5999,0.61275,0.59777,0.40916,1.0545,1.36392,1.12839,0.000280723,0.000280723,0.000280723
86,306.05,0.65328,0.42041,0.92652,0.65037,0.6234,0.61973,0.43496,1.06862,1.41865,1.12655,0.00026422,0.00026422,0.00026422
87,309.384,0.70767,0.42492,0.9673,0.64898,0.67927,0.63595,0.44791,1.09707,1.48294,1.14479,0.000247716,0.000247716,0.000247716
88,313.737,0.68478,0.4127,0.94666,0.62279,0.69284,0.65083,0.44744,1.11091,1.43455,1.17456,0.000231213,0.000231213,0.000231213
89,317.374,0.66773,0.44709,0.94034,0.63407,0.69359,0.66726,0.45933,1.13588,1.37875,1.2007,0.00021471,0.00021471,0.00021471
90,320.707,0.65796,0.38822,0.90934,0.60755,0.72701,0.64648,0.46041,1.03301,1.33032,1.13808,0.000198206,0.000198206,0.000198206
91,338.056,0.60023,0.35766,0.89138,0.59965,0.70015,0.6622,0.46145,1.10732,1.32187,1.17889,0.000181703,0.000181703,0.000181703
92,341.349,0.60202,0.34847,0.90098,0.58479,0.72436,0.64895,0.44312,1.09571,1.33592,1.16833,0.0001652,0.0001652,0.0001652
93,344.785,0.57029,0.33297,0.88095,0.6973,0.6435,0.63773,0.44656,1.05419,1.40525,1.14563,0.000148696,0.000148696,0.000148696
94,348.094,0.55485,0.32897,0.87798,0.70637,0.61645,0.64953,0.46039,1.0989,1.4942,1.17274,0.000132193,0.000132193,0.000132193
95,351.376,0.57741,0.32519,0.8936,0.6989,0.60656,0.6451,0.44787,1.11812,1.51386,1.17993,0.00011569,0.00011569,0.00011569
96,355.111,0.54689,0.31366,0.87948,0.66853,0.58679,0.62995,0.43647,1.0994,1.57369,1.16303,9.91865e-05,9.91865e-05,9.91865e-05
97,358.401,0.55332,0.31755,0.87568,0.65918,0.57463,0.61315,0.4238,1.1092,1.59849,1.1834,8.26832e-05,8.26832e-05,8.26832e-05
98,361.693,0.53108,0.30718,0.86315,0.63833,0.58148,0.61894,0.42859,1.12428,1.57081,1.19955,6.61799e-05,6.61799e-05,6.61799e-05
99,365,0.53304,0.31792,0.87129,0.61972,0.57099,0.61802,0.43272,1.12715,1.54611,1.2092,4.96766e-05,4.96766e-05,4.96766e-05
100,368.354,0.5264,0.30542,0.88801,0.64315,0.56821,0.62306,0.43577,1.10943,1.5089,1.20703,3.31733e-05,3.31733e-05,3.31733e-05
